name,category,trackingType,purchaseQuantity,purchaseUnit,purchaseCost,effectiveDate,active,notes
"Ground beef 80/20","Food","input","10","lb","42.90","2026-08-01","true","Burger protein; count by pounds or ounces loaded."
"Ground beef 80/20","Food","input","10","lb","46.50","2026-09-01","true","September price increase for effective-date testing."
"Brioche burger buns","Food","direct-sale","24","each","8.49","2026-08-01","true","One bun generally equals one burger sold; count as each."
"American cheese slices","Food","input","160","each","18.95","2026-08-01","true","Count slices loaded and remaining."
"Bacon strips cooked","Food","input","300","each","33.75","2026-08-01","true","Prepared strips for burger add-ons."
"Frozen french fries","Food","input","30","lb","29.70","2026-08-01","true","Bulk fries; count by pounds loaded."
"Cheese curds","Food","input","10","lb","41.25","2026-08-01","true","High-cost side item for margin sensitivity tests."
"Fryer oil","Food","input","35","lb","38.95","2026-08-01","true","Service-use oil allocation; count as pounds."
"House burger sauce","Food","input","128","floz","21.60","2026-08-01","true","Prepared sauce batch; count by fluid ounces."
"Ketchup packets","Food","input","1000","each","18.99","2026-08-01","true","Condiment packets issued during service."
"Napkins","Packaging","input","6000","each","39.99","2026-08-01","true","Packaging/consumable cost."
"Burger clamshells","Packaging","direct-sale","200","each","31.50","2026-08-01","true","One clamshell per burger/entree."
"Fry boats","Packaging","direct-sale","500","each","42.00","2026-08-01","true","One boat per fry side."
"Paper food trays","Packaging","direct-sale","250","each","36.75","2026-08-01","true","Used for baskets and specials."
"Gloves","Packaging","input","1000","each","29.95","2026-08-01","true","Prep/service consumable."
"Canned cola","Beverage","direct-sale","24","each","15.98","2026-08-01","true","Direct-sale beverage."
"Bottled water","Beverage","direct-sale","40","each","6.98","2026-08-01","true","Direct-sale beverage."
"Lemonade bottles","Beverage","direct-sale","12","each","13.49","2026-08-01","true","Premium direct-sale beverage."
"Propane cylinder allocation","Other","input","20","lb","21.99","2026-08-01","true","Optional per-service allocation if tracked in job counts."
"Generator fuel allocation","Other","input","5","gallon","18.75","2026-08-01","true","Optional per-service fuel allocation."
